Loaded 4000 images from jk_zfls/round0_train
Loaded 2400 images from jk_zfls/round0_eval
Epoch: 0, Batch: 0, Loss: 3.0791
Epoch: 0, Batch: 10, Loss: 1.0629
Epoch: 0, Batch: 20, Loss: 0.3801
Epoch: 0, Batch: 30, Loss: 0.1427

Incorrect predictions:
Sample 1: True label = 0, Predicted = 18
Sample 2: True label = 0, Predicted = 14
Sample 7: True label = 0, Predicted = 18
Sample 8: True label = 0, Predicted = 15
Sample 9: True label = 0, Predicted = 14
Sample 11: True label = 0, Predicted = 14
Sample 12: True label = 0, Predicted = 14
Sample 14: True label = 0, Predicted = 18
Sample 21: True label = 0, Predicted = 18
Sample 25: True label = 0, Predicted = 15
Sample 27: True label = 0, Predicted = 14
Sample 28: True label = 0, Predicted = 14
Sample 31: True label = 0, Predicted = 1
Sample 34: True label = 0, Predicted = 15
Sample 37: True label = 0, Predicted = 14
Sample 39: True label = 0, Predicted = 15
Sample 40: True label = 0, Predicted = 15
Sample 41: True label = 0, Predicted = 18
Sample 44: True label = 0, Predicted = 18
Sample 45: True label = 0, Predicted = 14
Sample 47: True label = 0, Predicted = 18
Sample 48: True label = 0, Predicted = 15
Sample 51: True label = 0, Predicted = 18
Sample 52: True label = 0, Predicted = 15
Sample 53: True label = 0, Predicted = 17
Sample 56: True label = 0, Predicted = 10
Sample 58: True label = 0, Predicted = 14
Sample 60: True label = 0, Predicted = 14
Sample 62: True label = 0, Predicted = 14
Sample 63: True label = 0, Predicted = 18
Sample 64: True label = 0, Predicted = 18
Sample 65: True label = 0, Predicted = 14
Sample 66: True label = 0, Predicted = 15
Sample 67: True label = 0, Predicted = 18
Sample 69: True label = 0, Predicted = 15
Sample 71: True label = 0, Predicted = 14
Sample 75: True label = 0, Predicted = 18
Sample 77: True label = 0, Predicted = 18
Sample 80: True label = 0, Predicted = 18
Sample 84: True label = 0, Predicted = 18
Sample 86: True label = 0, Predicted = 14
Sample 87: True label = 0, Predicted = 14
Sample 88: True label = 0, Predicted = 3
Sample 91: True label = 0, Predicted = 14
Sample 96: True label = 0, Predicted = 15
Sample 97: True label = 0, Predicted = 14
Sample 99: True label = 0, Predicted = 18
Sample 100: True label = 1, Predicted = 7
Sample 101: True label = 1, Predicted = 11
Sample 102: True label = 1, Predicted = 16
Sample 103: True label = 1, Predicted = 7
Sample 104: True label = 1, Predicted = 16
Sample 105: True label = 1, Predicted = 19
Sample 106: True label = 1, Predicted = 7
Sample 107: True label = 1, Predicted = 11
Sample 108: True label = 1, Predicted = 7
Sample 109: True label = 1, Predicted = 16
Sample 110: True label = 1, Predicted = 7
Sample 112: True label = 1, Predicted = 16
Sample 113: True label = 1, Predicted = 7
Sample 114: True label = 1, Predicted = 7
Sample 115: True label = 1, Predicted = 7
Sample 116: True label = 1, Predicted = 7
Sample 117: True label = 1, Predicted = 10
Sample 118: True label = 1, Predicted = 10
Sample 119: True label = 1, Predicted = 16
Sample 120: True label = 1, Predicted = 6
Sample 121: True label = 1, Predicted = 7
Sample 122: True label = 1, Predicted = 7
Sample 123: True label = 1, Predicted = 10
Sample 124: True label = 1, Predicted = 7
Sample 125: True label = 1, Predicted = 7
Sample 126: True label = 1, Predicted = 10
Sample 127: True label = 1, Predicted = 16
Sample 128: True label = 1, Predicted = 7
Sample 129: True label = 1, Predicted = 10
Sample 130: True label = 1, Predicted = 7
Sample 131: True label = 1, Predicted = 16
Sample 132: True label = 1, Predicted = 16
Sample 133: True label = 1, Predicted = 10
Sample 134: True label = 1, Predicted = 7
Sample 135: True label = 1, Predicted = 16
Sample 136: True label = 1, Predicted = 11
Sample 137: True label = 1, Predicted = 7
Sample 138: True label = 1, Predicted = 7
Sample 139: True label = 1, Predicted = 7
Sample 140: True label = 1, Predicted = 7
Sample 141: True label = 1, Predicted = 16
Sample 142: True label = 1, Predicted = 11
Sample 143: True label = 1, Predicted = 7
Sample 144: True label = 1, Predicted = 7
Sample 145: True label = 1, Predicted = 16
Sample 146: True label = 1, Predicted = 7
Sample 147: True label = 1, Predicted = 10
Sample 148: True label = 1, Predicted = 7
Sample 149: True label = 1, Predicted = 7
Sample 150: True label = 1, Predicted = 16
Sample 151: True label = 1, Predicted = 7
Sample 152: True label = 1, Predicted = 10
Sample 153: True label = 1, Predicted = 11
Sample 154: True label = 1, Predicted = 10
Sample 155: True label = 1, Predicted = 10
Sample 156: True label = 1, Predicted = 3
Sample 157: True label = 1, Predicted = 10
Sample 158: True label = 1, Predicted = 7
Sample 159: True label = 1, Predicted = 16
Sample 160: True label = 1, Predicted = 10
Sample 161: True label = 1, Predicted = 10
Sample 162: True label = 1, Predicted = 10
Sample 163: True label = 1, Predicted = 11
Sample 164: True label = 1, Predicted = 7
Sample 165: True label = 1, Predicted = 7
Sample 166: True label = 1, Predicted = 10
Sample 167: True label = 1, Predicted = 10
Sample 168: True label = 1, Predicted = 16
Sample 169: True label = 1, Predicted = 16
Sample 170: True label = 1, Predicted = 7
Sample 171: True label = 1, Predicted = 10
Sample 172: True label = 1, Predicted = 16
Sample 173: True label = 1, Predicted = 10
Sample 174: True label = 1, Predicted = 11
Sample 175: True label = 1, Predicted = 16
Sample 176: True label = 1, Predicted = 11
Sample 177: True label = 1, Predicted = 7
Sample 179: True label = 1, Predicted = 10
Sample 180: True label = 1, Predicted = 12
Sample 181: True label = 1, Predicted = 7
Sample 182: True label = 1, Predicted = 7
Sample 183: True label = 1, Predicted = 7
Sample 184: True label = 1, Predicted = 10
Sample 185: True label = 1, Predicted = 7
Sample 186: True label = 1, Predicted = 7
Sample 188: True label = 1, Predicted = 7
Sample 189: True label = 1, Predicted = 7
Sample 190: True label = 1, Predicted = 10
Sample 191: True label = 1, Predicted = 7
Sample 192: True label = 1, Predicted = 7
Sample 193: True label = 1, Predicted = 7
Sample 194: True label = 1, Predicted = 10
Sample 195: True label = 1, Predicted = 16
Sample 196: True label = 1, Predicted = 7
Sample 197: True label = 1, Predicted = 10
Sample 198: True label = 1, Predicted = 10
Sample 199: True label = 1, Predicted = 12
