Loaded 4000 images from jk_zfls/round0_train
Loaded 2400 images from jk_zfls/round0_eval
Epoch: 0, Batch: 0, Loss: 3.1024
Epoch: 0, Batch: 10, Loss: 1.0384
Epoch: 0, Batch: 20, Loss: 0.3496
Epoch: 0, Batch: 30, Loss: 0.1963

Incorrect predictions:
Sample 0: True label = 0, Predicted = 1
Sample 1: True label = 0, Predicted = 1
Sample 2: True label = 0, Predicted = 1
Sample 3: True label = 0, Predicted = 1
Sample 4: True label = 0, Predicted = 1
Sample 5: True label = 0, Predicted = 1
Sample 7: True label = 0, Predicted = 1
Sample 9: True label = 0, Predicted = 1
Sample 10: True label = 0, Predicted = 1
Sample 11: True label = 0, Predicted = 1
Sample 12: True label = 0, Predicted = 1
Sample 13: True label = 0, Predicted = 1
Sample 16: True label = 0, Predicted = 1
Sample 17: True label = 0, Predicted = 1
Sample 18: True label = 0, Predicted = 1
Sample 21: True label = 0, Predicted = 1
Sample 22: True label = 0, Predicted = 1
Sample 23: True label = 0, Predicted = 1
Sample 26: True label = 0, Predicted = 1
Sample 27: True label = 0, Predicted = 1
Sample 31: True label = 0, Predicted = 1
Sample 32: True label = 0, Predicted = 1
Sample 34: True label = 0, Predicted = 1
Sample 35: True label = 0, Predicted = 1
Sample 36: True label = 0, Predicted = 1
Sample 37: True label = 0, Predicted = 1
Sample 39: True label = 0, Predicted = 1
Sample 40: True label = 0, Predicted = 1
Sample 41: True label = 0, Predicted = 1
Sample 42: True label = 0, Predicted = 1
Sample 47: True label = 0, Predicted = 1
Sample 52: True label = 0, Predicted = 1
Sample 53: True label = 0, Predicted = 1
Sample 54: True label = 0, Predicted = 1
Sample 55: True label = 0, Predicted = 1
Sample 57: True label = 0, Predicted = 1
Sample 60: True label = 0, Predicted = 1
Sample 62: True label = 0, Predicted = 1
Sample 64: True label = 0, Predicted = 1
Sample 65: True label = 0, Predicted = 1
Sample 66: True label = 0, Predicted = 1
Sample 68: True label = 0, Predicted = 1
Sample 69: True label = 0, Predicted = 1
Sample 70: True label = 0, Predicted = 1
Sample 71: True label = 0, Predicted = 1
Sample 73: True label = 0, Predicted = 1
Sample 74: True label = 0, Predicted = 1
Sample 75: True label = 0, Predicted = 1
Sample 76: True label = 0, Predicted = 1
Sample 78: True label = 0, Predicted = 1
Sample 79: True label = 0, Predicted = 1
Sample 80: True label = 0, Predicted = 1
Sample 83: True label = 0, Predicted = 1
Sample 85: True label = 0, Predicted = 1
Sample 86: True label = 0, Predicted = 1
Sample 87: True label = 0, Predicted = 1
Sample 88: True label = 0, Predicted = 1
Sample 89: True label = 0, Predicted = 1
Sample 90: True label = 0, Predicted = 1
Sample 91: True label = 0, Predicted = 1
Sample 96: True label = 0, Predicted = 1
Sample 98: True label = 0, Predicted = 1
Sample 99: True label = 0, Predicted = 1
Sample 120: True label = 1, Predicted = 13
Sample 124: True label = 1, Predicted = 13
Sample 134: True label = 1, Predicted = 13
Sample 137: True label = 1, Predicted = 13
Sample 164: True label = 1, Predicted = 13
Sample 165: True label = 1, Predicted = 13
Sample 189: True label = 1, Predicted = 13
Sample 193: True label = 1, Predicted = 13
Sample 200: True label = 2, Predicted = 3
Sample 201: True label = 2, Predicted = 3
Sample 202: True label = 2, Predicted = 3
Sample 203: True label = 2, Predicted = 19
Sample 204: True label = 2, Predicted = 3
Sample 205: True label = 2, Predicted = 13
Sample 206: True label = 2, Predicted = 3
Sample 207: True label = 2, Predicted = 3
Sample 208: True label = 2, Predicted = 3
Sample 209: True label = 2, Predicted = 3
Sample 210: True label = 2, Predicted = 1
Sample 211: True label = 2, Predicted = 3
Sample 212: True label = 2, Predicted = 1
Sample 213: True label = 2, Predicted = 19
Sample 214: True label = 2, Predicted = 19
Sample 215: True label = 2, Predicted = 3
Sample 216: True label = 2, Predicted = 13
Sample 217: True label = 2, Predicted = 3
Sample 218: True label = 2, Predicted = 13
Sample 219: True label = 2, Predicted = 3
Sample 220: True label = 2, Predicted = 13
Sample 221: True label = 2, Predicted = 1
Sample 222: True label = 2, Predicted = 1
Sample 223: True label = 2, Predicted = 18
Sample 224: True label = 2, Predicted = 3
Sample 225: True label = 2, Predicted = 3
Sample 226: True label = 2, Predicted = 3
Sample 227: True label = 2, Predicted = 3
Sample 228: True label = 2, Predicted = 3
Sample 229: True label = 2, Predicted = 1
Sample 230: True label = 2, Predicted = 19
Sample 231: True label = 2, Predicted = 3
Sample 232: True label = 2, Predicted = 3
Sample 233: True label = 2, Predicted = 13
Sample 234: True label = 2, Predicted = 19
Sample 235: True label = 2, Predicted = 3
Sample 236: True label = 2, Predicted = 3
Sample 237: True label = 2, Predicted = 3
Sample 238: True label = 2, Predicted = 13
Sample 239: True label = 2, Predicted = 1
Sample 240: True label = 2, Predicted = 3
Sample 241: True label = 2, Predicted = 13
Sample 242: True label = 2, Predicted = 3
Sample 243: True label = 2, Predicted = 3
Sample 244: True label = 2, Predicted = 19
Sample 245: True label = 2, Predicted = 3
Sample 246: True label = 2, Predicted = 3
Sample 247: True label = 2, Predicted = 19
Sample 248: True label = 2, Predicted = 3
Sample 249: True label = 2, Predicted = 3
Sample 250: True label = 2, Predicted = 3
Sample 251: True label = 2, Predicted = 3
Sample 252: True label = 2, Predicted = 13
Sample 253: True label = 2, Predicted = 13
Sample 254: True label = 2, Predicted = 13
Sample 255: True label = 2, Predicted = 3
Sample 256: True label = 2, Predicted = 3
Sample 257: True label = 2, Predicted = 3
Sample 258: True label = 2, Predicted = 3
Sample 259: True label = 2, Predicted = 1
Sample 260: True label = 2, Predicted = 19
Sample 261: True label = 2, Predicted = 1
Sample 262: True label = 2, Predicted = 3
Sample 263: True label = 2, Predicted = 3
Sample 264: True label = 2, Predicted = 18
Sample 265: True label = 2, Predicted = 3
Sample 266: True label = 2, Predicted = 13
Sample 267: True label = 2, Predicted = 13
Sample 268: True label = 2, Predicted = 3
Sample 269: True label = 2, Predicted = 3
Sample 270: True label = 2, Predicted = 13
Sample 271: True label = 2, Predicted = 13
Sample 272: True label = 2, Predicted = 13
Sample 273: True label = 2, Predicted = 3
Sample 274: True label = 2, Predicted = 3
